"order_date",category,sku,"taxful_total_price","total_quantity"
"2019-11-11T16:36:29.000Z","[""Men's Shoes""]","[""ZO0384903849"",""ZO0403504035""]","99.98",2
"2019-11-11T16:36:29.000Z","[""Women's Shoes"",""Women's Accessories""]","[""ZO0678806788"",""ZO0186101861""]","99.98",2
"2019-11-11T16:27:50.000Z","[""Men's Clothing""]","[""ZO0545205452"",""ZO0437304373""]","19.98",2
"2019-11-11T16:13:26.000Z","[""Men's Shoes"",""Men's Clothing""]","[""ZO0384903849"",""ZO0579305793""]","74.98",2
"2019-11-11T15:46:05.000Z","[""Men's Clothing""]","[""ZO0548905489"",""ZO0459404594""]","32.98",2
"2019-11-11T15:44:38.000Z","[""Men's Shoes"",""Men's Clothing""]","[""ZO0522105221"",""ZO0459104591""]","45.98",2
"2019-11-11T15:28:48.000Z","[""Men's Accessories"",""Men's Clothing""]","[""ZO0607206072"",""ZO0431404314""]","109.98",2
"2019-11-11T15:18:43.000Z","[""Women's Shoes""]","[""ZO0324803248"",""ZO0703907039""]","149.98",2
"2019-11-11T15:12:58.000Z","[""Men's Clothing""]","[""ZO0623006230"",""ZO0419304193""]","84.98",2
"2019-11-11T15:01:26.000Z","[""Men's Clothing""]","[""ZO0424104241"",""ZO0117901179""]","76.98",2
"2019-11-11T15:01:26.000Z","[""Women's Clothing""]","[""ZO0501005010"",""ZO0214002140""]","45.98",2
"2019-11-11T14:49:55.000Z","[""Women's Clothing""]","[""ZO0646206462"",""ZO0146201462""]","31.98",2
"2019-11-11T14:25:26.000Z","[""Men's Clothing""]","[""ZO0433104331"",""ZO0549505495""]","111.98",2
"2019-11-11T14:18:14.000Z","[""Women's Clothing"",""Women's Accessories""]","[""ZO0227202272"",""ZO0357003570""]","37.98",2
"2019-11-11T13:49:26.000Z","[""Men's Shoes"",""Men's Clothing""]","[""ZO0691406914"",""ZO0617806178""]","82.98",2
"2019-11-11T13:48:00.000Z","[""Women's Shoes""]","[""ZO0013400134"",""ZO0667306673""]","114.98",2
"2019-11-11T13:26:24.000Z","[""Men's Clothing"",""Men's Shoes""]","[""ZO0663306633"",""ZO0687306873""]","84.98",2
"2019-11-11T13:10:34.000Z","[""Women's Clothing""]","[""ZO0046100461"",""ZO0151201512""]","65.98",2
"2019-11-11T12:57:36.000Z","[""Men's Clothing""]","[""ZO0284702847"",""ZO0299202992""]","49.98",2
"2019-11-11T12:54:43.000Z","[""Women's Shoes"",""Women's Clothing""]","[""ZO0025600256"",""ZO0270202702""]","74.98",2
"2019-11-11T12:40:19.000Z","[""Men's Clothing""]","[""ZO0552605526"",""ZO0292702927""]","24.98",2
"2019-11-11T12:38:53.000Z","[""Men's Clothing"",""Women's Accessories""]","[""ZO0451804518"",""ZO0127901279""]","58.98",2
"2019-11-11T12:36:00.000Z","[""Men's Clothing"",""Men's Shoes""]","[""ZO0583605836"",""ZO0510605106""]","45.98",2
"2019-11-11T11:51:22.000Z","[""Women's Shoes"",""Women's Clothing""]","[""ZO0238802388"",""ZO0066600666""]","85.98",2
"2019-11-11T11:39:50.000Z","[""Women's Accessories"",""Women's Clothing""]","[""ZO0074700747"",""ZO0645206452""]","53.98",2
