"_id","_index","_score","_type","available_size","brand_name",color,description,mrp,"pdp_url",price,"product_category","product_name",rating,retailer,"review_count","style_attributes","total_sizes"
fdWhW24BqETMH157iGyd,"elastic_data_viz",0,"_doc","s,m,l","Calvin Klein",BLACK,"soft cotton stretch fabric and a metallic logo waistband in a minimal rear coverage style.","$13.00 ","http://www.calvinklein.us/en/womens-clothing/women-three-for-panties/logo-cotton-stretch-thong-51703539","$13.00 ","3 FOR 33 PANTY ESSENTIALS","logo cotton stretch thong",NULL,"Calvin Klein US",NULL,"[""cotton stretch thong panty"",""metallic elasticized logo waistband"",""minimal rear coverage"",""full cotton gusset"",""tonal topstitching"",""seaming details"",""machine wash"",""95% cotton 5% elastane"",""imported""]","s,m,l"
ftWhW24BqETMH157iGyd,"elastic_data_viz",0,"_doc","s,m,l","Calvin Klein","ASHFORD GREY","soft cotton stretch fabric and a metallic logo waistband in a minimal rear coverage style.","$13.00 ","http://www.calvinklein.us/en/womens-clothing/women-three-for-panties/logo-cotton-stretch-thong-51703539","$13.00 ","3 FOR 33 PANTY ESSENTIALS","logo cotton stretch thong",NULL,"Calvin Klein US",NULL,"[""cotton stretch thong panty"",""metallic elasticized logo waistband"",""minimal rear coverage"",""full cotton gusset"",""tonal topstitching"",""seaming details"",""machine wash"",""95% cotton 5% elastane"",""imported""]","s,m,l"
f9WhW24BqETMH157iGyd,"elastic_data_viz",0,"_doc","s,m,l","Calvin Klein",WHITE,"soft cotton stretch fabric and a metallic logo waistband in a minimal rear coverage style.","$13.00 ","http://www.calvinklein.us/en/womens-clothing/women-three-for-panties/logo-cotton-stretch-thong-51703539","$13.00 ","3 FOR 33 PANTY ESSENTIALS","logo cotton stretch thong",NULL,"Calvin Klein US",NULL,"[""cotton stretch thong panty"",""metallic elasticized logo waistband"",""minimal rear coverage"",""full cotton gusset"",""tonal topstitching"",""seaming details"",""machine wash"",""95% cotton 5% elastane"",""imported""]","s,m,l"
gNWhW24BqETMH157iGyd,"elastic_data_viz",0,"_doc","s,m,l","Calvin Klein",NAVY,"soft cotton stretch fabric and a metallic logo waistband in a minimal rear coverage style.","$13.00 ","http://www.calvinklein.us/en/womens-clothing/women-three-for-panties/logo-cotton-stretch-thong-51703539","$13.00 ","3 FOR 33 PANTY ESSENTIALS","logo cotton stretch thong",NULL,"Calvin Klein US",NULL,"[""cotton stretch thong panty"",""metallic elasticized logo waistband"",""minimal rear coverage"",""full cotton gusset"",""tonal topstitching"",""seaming details"",""machine wash"",""95% cotton 5% elastane"",""imported""]","s,m,l"
gdWhW24BqETMH157iGyd,"elastic_data_viz",0,"_doc","s,m,l","Calvin Klein","EPHEMERAL WITH IVORY LACE & LOGO","the essentials thong features a semi sheer pattern and tonal lace trim.","$13.00 ","http://www.calvinklein.us/en/womens-clothing/women-panties/essentials-thong-51563445-699","$13.00 ",Panties,"essentials thong",NULL,"Calvin Klein US",NULL,"[""semi sheer thong panty"",""thin elastic logo waistband"",""tonal lace trim"",""cotton gusset"",""silky feel"",""machine wash"",""82% nylon 18% elastane"",""imported""]","s,m,l"
gtWhW24BqETMH157iGyd,"elastic_data_viz",0,"_doc","s,m,l","Calvin Klein","TRANSPINK WITH SCANDAL LACE & IVORY","the essentials thong features a semi sheer pattern and tonal lace trim.","$13.00 ","http://www.calvinklein.us/en/womens-clothing/women-panties/essentials-thong-51563445-699","$13.00 ",Panties,"essentials thong",NULL,"Calvin Klein US",NULL,"[""semi sheer thong panty"",""thin elastic logo waistband"",""tonal lace trim"",""cotton gusset"",""silky feel"",""machine wash"",""82% nylon 18% elastane"",""imported""]","s,m,l"
g9WhW24BqETMH157iGyd,"elastic_data_viz",0,"_doc","s,m,l","Calvin Klein","DOT FLOW WITH WATERSONE LACE","the essentials thong features a semi sheer pattern and tonal lace trim.","$13.00 ","http://www.calvinklein.us/en/womens-clothing/women-panties/essentials-thong-51563445-699","$13.00 ",Panties,"essentials thong",NULL,"Calvin Klein US",NULL,"[""semi sheer thong panty"",""thin elastic logo waistband"",""tonal lace trim"",""cotton gusset"",""silky feel"",""machine wash"",""82% nylon 18% elastane"",""imported""]","s,m,l"
hNWhW24BqETMH157iGyd,"elastic_data_viz",0,"_doc","xs-s,m-l","Calvin Klein",BLACK,"soft liner socks in a 3-pack featuring a no-show style and elasticized edges for a better fit.","$18.00 ","http://www.calvinklein.us/en/womens-clothing/intimates-womens-socks/3-pack-liner-socks-38010531","$18.00 ",Socks,"3 pack liner socks",NULL,"Calvin Klein US",NULL,"[""cotton stretch liner socks"",""no-show style"",""elasticized edges"",""machine wash"",""93% cotton 7% spandex"",""imported""]","xs-s,s-m,m-l"
hdWhW24BqETMH157iGyd,"elastic_data_viz",0,"_doc","s-m,m-l","Calvin Klein","WHITE/BLACK/NUDE","soft liner socks in a 3-pack featuring a no-show style and elasticized edges for a better fit.","$18.00 ","http://www.calvinklein.us/en/womens-clothing/intimates-womens-socks/3-pack-liner-socks-38010531","$18.00 ",Socks,"3 pack liner socks",NULL,"Calvin Klein US",NULL,"[""cotton stretch liner socks"",""no-show style"",""elasticized edges"",""machine wash"",""93% cotton 7% spandex"",""imported""]","xs-s,s-m,m-l"
htWhW24BqETMH157iGyd,"elastic_data_viz",0,"_doc","xs-s,m-l","Calvin Klein",BEIGE,"soft liner socks in a 3-pack featuring a no-show style and elasticized edges for a better fit.","$18.00 ","http://www.calvinklein.us/en/womens-clothing/intimates-womens-socks/3-pack-liner-socks-38010531","$18.00 ",Socks,"3 pack liner socks",NULL,"Calvin Klein US",NULL,"[""cotton stretch liner socks"",""no-show style"",""elasticized edges"",""machine wash"",""93% cotton 7% spandex"",""imported""]","xs-s,s-m,m-l"
