Kategorie-ID;Erstellungsdatum;Shoppingwelt;"Unterkategorie 1";"Unterkategorie 2";"Unterkategorie 3";"Unterkategorie 4";"Unterkategorie 5";"Unterkategorie 6"
7956;05.11.2009;"Auto & Motorrad";"Autopflege & Motorradpflege"
1001;15.05.2008;"Auto & Motorrad";"Autoteile & Zubehör";"Alarmanlagen Auto"
48911;04.05.2011;"Auto & Motorrad";"Autoteile & Zubehör";Anhängerkupplungen;"Anhängerkupplungen abnehmbar"
48921;04.05.2011;"Auto & Motorrad";"Autoteile & Zubehör";Anhängerkupplungen;"Anhängerkupplungen Komplettset"
48906;04.05.2011;"Auto & Motorrad";"Autoteile & Zubehör";Anhängerkupplungen;"Anhängerkupplungen starr"
48931;04.05.2011;"Auto & Motorrad";"Autoteile & Zubehör";Anhängerkupplungen;"Anhängerkupplungen Zubehör";Diebstahlsicherungen
48941;04.05.2011;"Auto & Motorrad";"Autoteile & Zubehör";Anhängerkupplungen;"Anhängerkupplungen Zubehör";Stecker
48951;04.05.2011;"Auto & Motorrad";"Autoteile & Zubehör";Anhängerkupplungen;"Anhängerkupplungen Zubehör";Stützfüße
48946;04.05.2011;"Auto & Motorrad";"Autoteile & Zubehör";Anhängerkupplungen;"Anhängerkupplungen Zubehör";Stützräder
48936;04.05.2011;"Auto & Motorrad";"Autoteile & Zubehör";Anhängerkupplungen;"Anhängerkupplungen Zubehör";Zugkugelkupplungen
5255;23.09.2008;"Auto & Motorrad";"Autoteile & Zubehör";"Anhängerteile & Zubehör"
1003;15.05.2008;"Auto & Motorrad";"Autoteile & Zubehör";Anlasser
1004;15.05.2008;"Auto & Motorrad";"Autoteile & Zubehör";"Auspuffanlagen & Schalldämpfer"
1005;15.05.2008;"Auto & Motorrad";"Autoteile & Zubehör";Ausstattung
79369;01.08.2016;"Auto & Motorrad";"Autoteile & Zubehör";"Auto Diebstahlsicherungen"
1025;15.05.2008;"Auto & Motorrad";"Autoteile & Zubehör";"Auto Klimaanlagen"
1028;15.05.2008;"Auto & Motorrad";"Autoteile & Zubehör";"Auto Lacke & Farben"
1006;15.05.2008;"Auto & Motorrad";"Autoteile & Zubehör";Autobatterien
48981;04.05.2011;"Auto & Motorrad";"Autoteile & Zubehör";Autoelektrik;Elektrosätze;13polig
48976;04.05.2011;"Auto & Motorrad";"Autoteile & Zubehör";Autoelektrik;Elektrosätze;7polig
48971;04.05.2011;"Auto & Motorrad";"Autoteile & Zubehör";Autoelektrik;"Weitere Autosätze"
1017;15.05.2008;"Auto & Motorrad";"Autoteile & Zubehör";"Autofußmatten & Fußteppiche"
57686;17.08.2011;"Auto & Motorrad";"Autoteile & Zubehör";Autopflege;Autopoliermaschinen
57691;17.08.2011;"Auto & Motorrad";"Autoteile & Zubehör";Autopflege;"Weitere Autopflege"
1009;15.05.2008;"Auto & Motorrad";"Autoteile & Zubehör";Batterieladegeräte
